"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈"
"2015100000","2015年度","04322","宮城県 村田町","","11,501","","5,721","","5,780",""
"2015100000","2015年度","04323","宮城県 柴田町","","39,525","","19,942","","19,583",""
"2015100000","2015年度","04324","宮城県 川崎町","","9,167","","4,508","","4,659",""
"2015100000","2015年度","04341","宮城県 丸森町","","13,972","","6,877","","7,095",""
"2015100000","2015年度","04361","宮城県 亘理町","","33,589","","16,362","","17,227",""
"2015100000","2015年度","04362","宮城県 山元町","","12,315","","6,168","","6,147",""
"2015100000","2015年度","04401","宮城県 松島町","","14,421","","6,968","","7,453",""
"2015100000","2015年度","04404","宮城県 七ヶ浜町","","18,652","","9,248","","9,404",""
"2015100000","2015年度","04406","宮城県 利府町","","35,835","","17,400","","18,435",""
"2015100000","2015年度","04421","宮城県 大和町","","28,244","","14,552","","13,692",""
"2015100000","2015年度","04422","宮城県 大郷町","","8,370","","4,068","","4,302",""
"2015100000","2015年度","04424","宮城県 大衡村","","5,703","","2,859","","2,844",""
"2015100000","2015年度","04444","宮城県 色麻町","","7,238","","3,489","","3,749",""
"2015100000","2015年度","04445","宮城県 加美町","","23,743","","11,580","","12,163",""
"2015100000","2015年度","04501","宮城県 涌谷町","","16,701","","8,093","","8,608",""
"2015100000","2015年度","04505","宮城県 美里町","","24,852","","11,981","","12,871",""
"2015100000","2015年度","04581","宮城県 女川町","","6,334","","3,459","","2,875",""
"2015100000","2015年度","04606","宮城県 南三陸町","","12,370","","6,105","","6,265",""
"2015100000","2015年度","05201","秋田県 秋田市","","315,814","","148,851","","166,963",""
"2015100000","2015年度","05202","秋田県 能代市","","54,730","","25,170","","29,560",""
"2015100000","2015年度","05203","秋田県 横手市","","92,197","","43,274","","48,923",""
"2015100000","2015年度","05204","秋田県 大館市","","74,175","","34,633","","39,542",""
"2015100000","2015年度","05206","秋田県 男鹿市","","28,375","","13,301","","15,074",""
"2015100000","2015年度","05207","秋田県 湯沢市","","46,613","","22,132","","24,481",""
"2015100000","2015年度","05209","秋田県 鹿角市","","32,038","","14,939","","17,099",""
"2015100000","2015年度","05210","秋田県 由利本荘市","","79,927","","38,162","","41,765",""
"2015100000","2015年度","05211","秋田県 潟上市","","33,083","","15,547","","17,536",""
"2015100000","2015年度","05212","秋田県 大仙市","","82,783","","38,563","","44,220",""
"2015100000","2015年度","05213","秋田県 北秋田市","","33,224","","15,478","","17,746",""
"2015100000","2015年度","05214","秋田県 にかほ市","","25,324","","11,981","","13,343",""
"2015100000","2015年度","05215","秋田県 仙北市","","27,523","","12,758","","14,765",""
"2015100000","2015年度","05303","秋田県 小坂町","","5,339","","2,489","","2,850",""
"2015100000","2015年度","05327","秋田県 上小阿仁村","","2,381","","1,113","","1,268",""
"2015100000","2015年度","05346","秋田県 藤里町","","3,359","","1,602","","1,757",""
