,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
3445,2010年度,36-202,徳島県,鳴門市,61513,29106.0,32407.0
3446,2010年度,36-203,徳島県,小松島市,40614,19384.0,21230.0
3447,2010年度,36-204,徳島県,阿南市,76063,36630.0,39433.0
3448,2010年度,36-205,徳島県,吉野川市,44020,20510.0,23510.0
3449,2010年度,36-206,徳島県,阿波市,39247,18543.0,20704.0
3450,2010年度,36-207,徳島県,美馬市,32484,15338.0,17146.0
3451,2010年度,36-208,徳島県,三好市,29951,13962.0,15989.0
3452,2010年度,36-301,徳島県,勝浦町,5765,2759.0,3006.0
3453,2010年度,36-302,徳島県,上勝町,1783,848.0,935.0
3454,2010年度,36-321,徳島県,佐那河内村,2588,1241.0,1347.0
3455,2010年度,36-341,徳島県,石井町,25954,12267.0,13687.0
3456,2010年度,36-342,徳島県,神山町,6038,2831.0,3207.0
3457,2010年度,36-368,徳島県,那賀町,9318,4397.0,4921.0
3458,2010年度,36-383,徳島県,牟岐町,4826,2224.0,2602.0
3459,2010年度,36-387,徳島県,美波町,7765,3632.0,4133.0
3460,2010年度,36-388,徳島県,海陽町,10446,4884.0,5562.0
3461,2010年度,36-401,徳島県,松茂町,15070,7464.0,7606.0
3462,2010年度,36-402,徳島県,北島町,21658,10464.0,11194.0
3463,2010年度,36-403,徳島県,藍住町,33338,15886.0,17452.0
3464,2010年度,36-404,徳島県,板野町,14241,6790.0,7451.0
3465,2010年度,36-405,徳島県,上板町,12727,6023.0,6704.0
3466,2010年度,36-468,徳島県,つるぎ町,10490,4866.0,5624.0
3467,2010年度,36-489,徳島県,東みよし町,15044,7042.0,8002.0
3468,2010年度,37-201,香川県,高松市,419429,203312.0,216117.0
3469,2010年度,37-202,香川県,丸亀市,110473,53633.0,56840.0
3470,2010年度,37-203,香川県,坂出市,55621,26560.0,29061.0
3471,2010年度,37-204,香川県,善通寺市,33817,16537.0,17280.0
3472,2010年度,37-205,香川県,観音寺市,62690,29954.0,32736.0
3473,2010年度,37-206,香川県,さぬき市,53000,25358.0,27642.0
3474,2010年度,37-207,香川県,東かがわ市,33625,15944.0,17681.0
3475,2010年度,37-208,香川県,三豊市,68512,32616.0,35896.0
3476,2010年度,37-322,香川県,土庄町,15123,7025.0,8098.0
3477,2010年度,37-324,香川県,小豆島町,16152,7570.0,8582.0
3478,2010年度,37-341,香川県,三木町,28464,13625.0,14839.0
3479,2010年度,37-364,香川県,直島町,3325,1671.0,1654.0
3480,2010年度,37-386,香川県,宇多津町,18434,9092.0,9342.0
3481,2010年度,37-387,香川県,綾川町,24625,11817.0,12808.0
3482,2010年度,37-403,香川県,琴平町,9967,4562.0,5405.0
3483,2010年度,37-404,香川県,多度津町,23498,11591.0,11907.0
3484,2010年度,37-406,香川県,まんのう町,19087,9084.0,10003.0
