,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
13993,1980年度,11-343,埼玉県,小川町,27045,,
13994,1980年度,11-346,埼玉県,川島町,17393,,
13995,1980年度,11-347,埼玉県,吉見町,16107,,
13996,1980年度,11-348,埼玉県,鳩山町,10301,,
13997,1980年度,11-349,埼玉県,ときがわ町,11131,,
13998,1980年度,11-361,埼玉県,横瀬町,9511,,
13999,1980年度,11-362,埼玉県,皆野町,12817,,
14000,1980年度,11-363,埼玉県,長瀞町,8908,,
14001,1980年度,11-365,埼玉県,小鹿野町,16190,,
14002,1980年度,11-369,埼玉県,東秩父村,4704,,
14003,1980年度,11-381,埼玉県,美里町,11030,,
14004,1980年度,11-383,埼玉県,神川町,12012,,
14005,1980年度,11-385,埼玉県,上里町,19700,,
14006,1980年度,11-408,埼玉県,寄居町,28469,,
14007,1980年度,11-442,埼玉県,宮代町,29537,,
14008,1980年度,11-464,埼玉県,杉戸町,34546,,
14009,1980年度,11-465,埼玉県,松伏町,18462,,
14010,1980年度,12-100,千葉県,千葉市,746430,,
14017,1980年度,12-202,千葉県,銚子市,89416,,
14018,1980年度,12-203,千葉県,市川市,364244,,
14019,1980年度,12-204,千葉県,船橋市,479439,,
14020,1980年度,12-205,千葉県,館山市,56257,,
14021,1980年度,12-206,千葉県,木更津市,110711,,
14022,1980年度,12-207,千葉県,松戸市,400863,,
14023,1980年度,12-208,千葉県,野田市,112753,,
14024,1980年度,12-210,千葉県,茂原市,71521,,
14025,1980年度,12-211,千葉県,成田市,85897,,
14026,1980年度,12-212,千葉県,佐倉市,101180,,
14027,1980年度,12-213,千葉県,東金市,35603,,
14028,1980年度,12-215,千葉県,旭市,65405,,
14029,1980年度,12-216,千葉県,習志野市,125155,,
14030,1980年度,12-217,千葉県,柏市,272904,,
14031,1980年度,12-218,千葉県,勝浦市,25462,,
14032,1980年度,12-219,千葉県,市原市,216394,,
14033,1980年度,12-220,千葉県,流山市,106635,,
14034,1980年度,12-221,千葉県,八千代市,134479,,
14035,1980年度,12-222,千葉県,我孫子市,101061,,
14036,1980年度,12-223,千葉県,鴨川市,41159,,
14037,1980年度,12-224,千葉県,鎌ケ谷市,76157,,
14038,1980年度,12-225,千葉県,君津市,77286,,
14039,1980年度,12-226,千葉県,富津市,56102,,
14040,1980年度,12-227,千葉県,浦安市,64673,,
14041,1980年度,12-228,千葉県,四街道市,59236,,
14042,1980年度,12-229,千葉県,袖ケ浦市,38837,,
14043,1980年度,12-230,千葉県,八街市,31939,,
14044,1980年度,12-231,千葉県,印西市,29970,,
14045,1980年度,12-232,千葉県,白井市,24974,,
14046,1980年度,12-233,千葉県,富里市,23315,,
14047,1980年度,12-234,千葉県,南房総市,55652,,
14048,1980年度,12-235,千葉県,匝瑳市,41160,,
14049,1980年度,12-236,千葉県,香取市,92048,,
14050,1980年度,12-237,千葉県,山武市,43954,,
14051,1980年度,12-238,千葉県,いすみ市,42816,,
14052,1980年度,12-239,千葉県,大網白里市,25802,,
14053,1980年度,12-322,千葉県,酒々井町,12807,,
14054,1980年度,12-329,千葉県,栄町,9553,,
14055,1980年度,12-342,千葉県,神崎町,5645,,
14056,1980年度,12-347,千葉県,多古町,17133,,
14057,1980年度,12-349,千葉県,東庄町,18205,,
14058,1980年度,12-403,千葉県,九十九里町,18037,,
14059,1980年度,12-409,千葉県,芝山町,7971,,
14060,1980年度,12-410,千葉県,横芝光町,25387,,
14061,1980年度,12-421,千葉県,一宮町,10486,,
14062,1980年度,12-422,千葉県,睦沢町,7551,,
14063,1980年度,12-423,千葉県,長生村,10132,,
14064,1980年度,12-424,千葉県,白子町,11691,,
14065,1980年度,12-426,千葉県,長柄町,7487,,
14066,1980年度,12-427,千葉県,長南町,11509,,
14067,1980年度,12-441,千葉県,大多喜町,13612,,
14068,1980年度,12-443,千葉県,御宿町,8486,,
14069,1980年度,12-463,千葉県,鋸南町,12843,,
14070,1980年度,13-101,東京都,千代田区,54801,,
14071,1980年度,13-102,東京都,中央区,82700,,
14072,1980年度,13-103,東京都,港区,201257,,
14073,1980年度,13-104,東京都,新宿区,343928,,
14074,1980年度,13-105,東京都,文京区,202351,,
14075,1980年度,13-106,東京都,台東区,186048,,
14076,1980年度,13-107,東京都,墨田区,232796,,
14077,1980年度,13-108,東京都,江東区,362270,,
14078,1980年度,13-109,東京都,品川区,346247,,
14079,1980年度,13-110,東京都,目黒区,273791,,
14080,1980年度,13-111,東京都,大田区,661147,,
14081,1980年度,13-112,東京都,世田谷区,797292,,
14082,1980年度,13-113,東京都,渋谷区,247035,,
14083,1980年度,13-114,東京都,中野区,345733,,
14084,1980年度,13-115,東京都,杉並区,542449,,
14085,1980年度,13-116,東京都,豊島区,288626,,
14086,1980年度,13-117,東京都,北区,387458,,
14087,1980年度,13-118,東京都,荒川区,198126,,
14088,1980年度,13-119,東京都,板橋区,498266,,
14089,1980年度,13-120,東京都,練馬区,564156,,
14090,1980年度,13-121,東京都,足立区,619961,,
14091,1980年度,13-122,東京都,葛飾区,420187,,
14092,1980年度,13-123,東京都,江戸川区,495231,,
14093,1980年度,13-201,東京都,八王子市,387178,,
14094,1980年度,13-202,東京都,立川市,142675,,
14095,1980年度,13-203,東京都,武蔵野市,136910,,
14096,1980年度,13-204,東京都,三鷹市,164526,,
14097,1980年度,13-205,東京都,青梅市,98990,,
14098,1980年度,13-206,東京都,府中市,192198,,
14099,1980年度,13-207,東京都,昭島市,89344,,
14100,1980年度,13-208,東京都,調布市,180548,,
14101,1980年度,13-209,東京都,町田市,295405,,
14102,1980年度,13-210,東京都,小金井市,102456,,
14103,1980年度,13-211,東京都,小平市,154610,,
14104,1980年度,13-212,東京都,日野市,145448,,
14105,1980年度,13-213,東京都,東村山市,119363,,
14106,1980年度,13-214,東京都,国分寺市,91010,,
14107,1980年度,13-215,東京都,国立市,64144,,
14108,1980年度,13-218,東京都,福生市,48694,,
14109,1980年度,13-219,東京都,狛江市,70836,,
14110,1980年度,13-220,東京都,東大和市,65553,,
14111,1980年度,13-221,東京都,清瀬市,61913,,
14112,1980年度,13-222,東京都,東久留米市,106556,,
14113,1980年度,13-223,東京都,武蔵村山市,57198,,
14114,1980年度,13-224,東京都,多摩市,95248,,
14115,1980年度,13-225,東京都,稲城市,48154,,
14116,1980年度,13-227,東京都,羽村市,42017,,
14117,1980年度,13-228,東京都,あきる野市,62810,,
14118,1980年度,13-229,東京都,西東京市,158235,,
14119,1980年度,13-303,東京都,瑞穂町,22803,,
14120,1980年度,13-305,東京都,日の出町,13854,,
14121,1980年度,13-307,東京都,檜原村,4230,,
14122,1980年度,13-308,東京都,奥多摩町,9808,,
14123,1980年度,13-361,東京都,大島町,10734,,
14124,1980年度,13-362,東京都,利島村,278,,
14125,1980年度,13-363,東京都,新島村,3684,,
14126,1980年度,13-364,東京都,神津島村,2210,,
14127,1980年度,13-381,東京都,三宅村,4228,,
14128,1980年度,13-382,東京都,御蔵島村,225,,
14129,1980年度,13-401,東京都,八丈町,10244,,
14130,1980年度,13-402,東京都,青ヶ島村,192,,
14131,1980年度,13-421,東京都,小笠原村,1879,,
14132,1980年度,14-100,神奈川県,横浜市,2773674,,
14151,1980年度,14-130,神奈川県,川崎市,1040802,,
14159,1980年度,14-150,神奈川県,相模原市,494255,,
14163,1980年度,14-201,神奈川県,横須賀市,421107,,
14164,1980年度,14-203,神奈川県,平塚市,214293,,
14165,1980年度,14-204,神奈川県,鎌倉市,172629,,
14166,1980年度,14-205,神奈川県,藤沢市,300248,,
14167,1980年度,14-206,神奈川県,小田原市,177467,,
14168,1980年度,14-207,神奈川県,茅ヶ崎市,171016,,
14169,1980年度,14-208,神奈川県,逗子市,58479,,
14170,1980年度,14-210,神奈川県,三浦市,48687,,
14171,1980年度,14-211,神奈川県,秦野市,123133,,
14172,1980年度,14-212,神奈川県,厚木市,145392,,
14173,1980年度,14-213,神奈川県,大和市,167935,,
14174,1980年度,14-214,神奈川県,伊勢原市,70052,,
14175,1980年度,14-215,神奈川県,海老名市,77498,,
14176,1980年度,14-216,神奈川県,座間市,93503,,
14177,1980年度,14-217,神奈川県,南足柄市,39919,,
14178,1980年度,14-218,神奈川県,綾瀬市,65078,,
14179,1980年度,14-301,神奈川県,葉山町,28359,,
14180,1980年度,14-321,神奈川県,寒川町,36417,,
14181,1980年度,14-341,神奈川県,大磯町,29931,,
14182,1980年度,14-342,神奈川県,二宮町,27221,,
14183,1980年度,14-361,神奈川県,中井町,8626,,
14184,1980年度,14-362,神奈川県,大井町,12832,,
14185,1980年度,14-363,神奈川県,松田町,12601,,
14186,1980年度,14-364,神奈川県,山北町,13803,,
14187,1980年度,14-366,神奈川県,開成町,10673,,
14188,1980年度,14-382,神奈川県,箱根町,19882,,
14189,1980年度,14-383,神奈川県,真鶴町,9968,,
14190,1980年度,14-384,神奈川県,湯河原町,25456,,
14191,1980年度,14-401,神奈川県,愛川町,29873,,
14192,1980年度,14-402,神奈川県,清川村,3539,,
14193,1980年度,15-100,新潟県,新潟市,730733,,
14202,1980年度,15-202,新潟県,長岡市,289234,,
14203,1980年度,15-204,新潟県,三条市,109429,,
14204,1980年度,15-205,新潟県,柏崎市,95892,,
14205,1980年度,15-206,新潟県,新発田市,102134,,
14206,1980年度,15-208,新潟県,小千谷市,44963,,
14207,1980年度,15-209,新潟県,加茂市,36705,,
14208,1980年度,15-210,新潟県,十日町市,78791,,
14209,1980年度,15-211,新潟県,見附市,41833,,
14210,1980年度,15-212,新潟県,村上市,80206,,
14211,1980年度,15-213,新潟県,燕市,82984,,
14212,1980年度,15-216,新潟県,糸魚川市,61488,,
14213,1980年度,15-217,新潟県,妙高市,41980,,
14214,1980年度,15-218,新潟県,五泉市,62516,,
14215,1980年度,15-222,新潟県,上越市,216320,,
14216,1980年度,15-223,新潟県,阿賀野市,47490,,
14217,1980年度,15-224,新潟県,佐渡市,84942,,
14218,1980年度,15-225,新潟県,魚沼市,48482,,
14219,1980年度,15-226,新潟県,南魚沼市,62830,,
14220,1980年度,15-227,新潟県,胎内市,35605,,
14221,1980年度,15-307,新潟県,聖籠町,12232,,
14222,1980年度,15-342,新潟県,弥彦村,7910,,
14223,1980年度,15-361,新潟県,田上町,11396,,
14224,1980年度,15-385,新潟県,阿賀町,20280,,
14225,1980年度,15-405,新潟県,出雲崎町,7048,,
14226,1980年度,15-461,新潟県,湯沢町,9514,,
14227,1980年度,15-482,新潟県,津南町,13841,,
14228,1980年度,15-504,新潟県,刈羽村,5346,,
14229,1980年度,15-581,新潟県,関川村,8638,,
14230,1980年度,15-586,新潟県,粟島浦村,595,,
14231,1980年度,16-201,富山県,富山市,391554,,
14232,1980年度,16-202,富山県,高岡市,186900,,
14233,1980年度,16-204,富山県,魚津市,49512,,
14234,1980年度,16-205,富山県,氷見市,62413,,
14235,1980年度,16-206,富山県,滑川市,30744,,
14236,1980年度,16-207,富山県,黒部市,43096,,
14237,1980年度,16-208,富山県,砺波市,43530,,
14238,1980年度,16-209,富山県,小矢部市,36497,,
14239,1980年度,16-210,富山県,南砺市,66844,,
14240,1980年度,16-211,富山県,射水市,91317,,
14241,1980年度,16-321,富山県,舟橋村,1360,,
14242,1980年度,16-322,富山県,上市町,24028,,
14243,1980年度,16-323,富山県,立山町,27870,,
14244,1980年度,16-342,富山県,入善町,29163,,
14245,1980年度,16-343,富山県,朝日町,18631,,
14246,1980年度,17-201,石川県,金沢市,417684,,
14247,1980年度,17-202,石川県,七尾市,69945,,
14248,1980年度,17-203,石川県,小松市,104329,,
14249,1980年度,17-204,石川県,輪島市,45115,,
14250,1980年度,17-205,石川県,珠洲市,27351,,
14251,1980年度,17-206,石川県,加賀市,77335,,
14252,1980年度,17-207,石川県,羽咋市,28784,,
14253,1980年度,17-209,石川県,かほく市,34106,,
14254,1980年度,17-210,石川県,白山市,81286,,
14255,1980年度,17-211,石川県,能美市,37253,,
14256,1980年度,17-212,石川県,野々市市,31817,,
14257,1980年度,17-324,石川県,川北町,4256,,
14258,1980年度,17-361,石川県,津幡町,23682,,
14259,1980年度,17-365,石川県,内灘町,20814,,
14260,1980年度,17-384,石川県,志賀町,30636,,
14261,1980年度,17-386,石川県,宝達志水町,17115,,
14262,1980年度,17-407,石川県,中能登町,22475,,
14263,1980年度,17-461,石川県,穴水町,14044,,
14264,1980年度,17-463,石川県,能登町,31277,,
14265,1980年度,18-201,福井県,福井市,259638,,
14266,1980年度,18-202,福井県,敦賀市,61844,,
14267,1980年度,18-204,福井県,小浜市,34049,,
14268,1980年度,18-205,福井県,大野市,43379,,
14269,1980年度,18-206,福井県,勝山市,30852,,
14270,1980年度,18-207,福井県,鯖江市,59579,,
14271,1980年度,18-208,福井県,あわら市,30975,,
14272,1980年度,18-209,福井県,越前市,81942,,
14273,1980年度,18-210,福井県,坂井市,75983,,
14274,1980年度,18-322,福井県,永平寺町,19667,,
14275,1980年度,18-382,福井県,池田町,4510,,
14276,1980年度,18-404,福井県,南越前町,13820,,
14277,1980年度,18-423,福井県,越前町,25992,,
14278,1980年度,18-442,福井県,美浜町,13036,,
14279,1980年度,18-481,福井県,高浜町,11818,,
14280,1980年度,18-483,福井県,おおい町,9156,,
14281,1980年度,18-501,福井県,若狭町,18114,,
14282,1980年度,19-201,山梨県,甲府市,204654,,
14283,1980年度,19-202,山梨県,富士吉田市,53569,,
14284,1980年度,19-204,山梨県,都留市,32901,,
14285,1980年度,19-205,山梨県,山梨市,39142,,
14286,1980年度,19-206,山梨県,大月市,35404,,
14287,1980年度,19-207,山梨県,韮崎市,27343,,
14288,1980年度,19-208,山梨県,南アルプス市,54123,,
14289,1980年度,19-209,山梨県,北杜市,44320,,
14290,1980年度,19-210,山梨県,甲斐市,45337,,
14291,1980年度,19-211,山梨県,笛吹市,55950,,
14292,1980年度,19-212,山梨県,上野原市,27878,,
14293,1980年度,19-213,山梨県,甲州市,37269,,
14294,1980年度,19-214,山梨県,中央市,16812,,
14295,1980年度,19-346,山梨県,市川三郷町,21985,,
14296,1980年度,19-364,山梨県,早川町,3005,,
14297,1980年度,19-365,山梨県,身延町,23222,,
14298,1980年度,19-366,山梨県,南部町,12465,,
14299,1980年度,19-368,山梨県,富士川町,18815,,
14300,1980年度,19-384,山梨県,昭和町,8751,,
14301,1980年度,19-422,山梨県,道志村,2231,,
14302,1980年度,19-423,山梨県,西桂町,4002,,
14303,1980年度,19-424,山梨県,忍野村,6077,,
14304,1980年度,19-425,山梨県,山中湖村,4637,,
14305,1980年度,19-429,山梨県,鳴沢村,2249,,
14306,1980年度,19-430,山梨県,富士河口湖町,17812,,
14307,1980年度,19-442,山梨県,小菅村,1284,,
14308,1980年度,19-443,山梨県,丹波山村,1197,,
14309,1980年度,20-201,長野県,長野市,358173,,
14310,1980年度,20-202,長野県,松本市,223496,,
14311,1980年度,20-203,長野県,上田市,151804,,
14312,1980年度,20-204,長野県,岡谷市,62210,,
14313,1980年度,20-205,長野県,飯田市,109465,,
14314,1980年度,20-206,長野県,諏訪市,50558,,
14315,1980年度,20-207,長野県,須坂市,52543,,
14316,1980年度,20-208,長野県,小諸市,42355,,
14317,1980年度,20-209,長野県,伊那市,67544,,
14318,1980年度,20-210,長野県,駒ヶ根市,31179,,
14319,1980年度,20-211,長野県,中野市,44985,,
14320,1980年度,20-212,長野県,大町市,36083,,
14321,1980年度,20-213,長野県,飯山市,30073,,
14322,1980年度,20-214,長野県,茅野市,43942,,
14323,1980年度,20-215,長野県,塩尻市,57417,,
14324,1980年度,20-217,長野県,佐久市,91285,,
14325,1980年度,20-218,長野県,千曲市,60106,,
14326,1980年度,20-219,長野県,東御市,26841,,
14327,1980年度,20-220,長野県,安曇野市,75209,,
14328,1980年度,20-303,長野県,小海町,7004,,
14329,1980年度,20-304,長野県,川上村,4632,,
14330,1980年度,20-305,長野県,南牧村,3435,,
14331,1980年度,20-306,長野県,南相木村,1604,,
14332,1980年度,20-307,長野県,北相木村,1299,,
14333,1980年度,20-309,長野県,佐久穂町,14228,,
14334,1980年度,20-321,長野県,軽井沢町,14195,,
14335,1980年度,20-323,長野県,御代田町,9851,,
14336,1980年度,20-324,長野県,立科町,8347,,
14337,1980年度,20-349,長野県,青木村,5245,,
14338,1980年度,20-350,長野県,長和町,8185,,
14339,1980年度,20-361,長野県,下諏訪町,26574,,
14340,1980年度,20-362,長野県,富士見町,14080,,
14341,1980年度,20-363,長野県,原村,6125,,
14342,1980年度,20-382,長野県,辰野町,23894,,
14343,1980年度,20-383,長野県,箕輪町,19729,,
14344,1980年度,20-384,長野県,飯島町,10515,,
14345,1980年度,20-385,長野県,南箕輪村,8877,,
14346,1980年度,20-386,長野県,中川村,5524,,
14347,1980年度,20-388,長野県,宮田村,7582,,
14348,1980年度,20-402,長野県,松川町,13108,,
14349,1980年度,20-403,長野県,高森町,11488,,
14350,1980年度,20-404,長野県,阿南町,7290,,
14351,1980年度,20-407,長野県,阿智村,7818,,
14352,1980年度,20-409,長野県,平谷村,657,,
14353,1980年度,20-410,長野県,根羽村,1773,,
14354,1980年度,20-411,長野県,下條村,4078,,
14355,1980年度,20-412,長野県,売木村,828,,
14356,1980年度,20-413,長野県,天龍村,3389,,
14357,1980年度,20-414,長野県,泰阜村,2613,,
14358,1980年度,20-415,長野県,喬木村,7224,,
14359,1980年度,20-416,長野県,豊丘村,7409,,
14360,1980年度,20-417,長野県,大鹿村,2322,,
14361,1980年度,20-422,長野県,上松町,7654,,
14362,1980年度,20-423,長野県,南木曽町,6680,,
14363,1980年度,20-425,長野県,木祖村,4190,,
14364,1980年度,20-429,長野県,王滝村,1768,,
14365,1980年度,20-430,長野県,大桑村,5637,,
14366,1980年度,20-432,長野県,木曽町,17426,,
14367,1980年度,20-446,長野県,麻績村,4016,,
14368,1980年度,20-448,長野県,生坂村,3142,,
14369,1980年度,20-450,長野県,山形村,5578,,
14370,1980年度,20-451,長野県,朝日村,4228,,
14371,1980年度,20-452,長野県,筑北村,7556,,
14372,1980年度,20-481,長野県,池田町,10610,,
14373,1980年度,20-482,長野県,松川村,7496,,
14374,1980年度,20-485,長野県,白馬村,7131,,
14375,1980年度,20-486,長野県,小谷村,5165,,
14376,1980年度,20-521,長野県,坂城町,16685,,
14377,1980年度,20-541,長野県,小布施町,11205,,
14378,1980年度,20-543,長野県,高山村,6931,,
14379,1980年度,20-561,長野県,山ノ内町,18964,,
14380,1980年度,20-562,長野県,木島平村,6077,,
14381,1980年度,20-563,長野県,野沢温泉村,4966,,
14382,1980年度,20-583,長野県,信濃町,11857,,
14383,1980年度,20-588,長野県,小川村,5132,,
14384,1980年度,20-590,長野県,飯綱町,12000,,
14385,1980年度,20-602,長野県,栄村,3502,,
14386,1980年度,21-201,岐阜県,岐阜市,420231,,
14387,1980年度,21-202,岐阜県,大垣市,156215,,
14388,1980年度,21-203,岐阜県,高山市,95037,,
14389,1980年度,21-204,岐阜県,多治見市,87812,,
14390,1980年度,21-205,岐阜県,関市,78529,,
14391,1980年度,21-206,岐阜県,中津川市,83539,,
14392,1980年度,21-207,岐阜県,美濃市,26825,,
14393,1980年度,21-208,岐阜県,瑞浪市,40066,,
14394,1980年度,21-209,岐阜県,羽島市,56975,,
14395,1980年度,21-210,岐阜県,恵那市,59161,,
14396,1980年度,21-211,岐阜県,美濃加茂市,39531,,
14397,1980年度,21-212,岐阜県,土岐市,65038,,
14398,1980年度,21-213,岐阜県,各務原市,122317,,
14399,1980年度,21-214,岐阜県,可児市,57290,,
14400,1980年度,21-215,岐阜県,山県市,29669,,
14401,1980年度,21-216,岐阜県,瑞穂市,32247,,
14402,1980年度,21-217,岐阜県,飛騨市,36100,,
14403,1980年度,21-218,岐阜県,本巣市,28245,,
14404,1980年度,21-219,岐阜県,郡上市,52690,,
14405,1980年度,21-220,岐阜県,下呂市,42581,,
14406,1980年度,21-221,岐阜県,海津市,37671,,
14407,1980年度,21-302,岐阜県,岐南町,18309,,
14408,1980年度,21-303,岐阜県,笠松町,22865,,
14409,1980年度,21-341,岐阜県,養老町,31372,,
14410,1980年度,21-361,岐阜県,垂井町,26404,,
14411,1980年度,21-362,岐阜県,関ケ原町,10483,,
14412,1980年度,21-381,岐阜県,神戸町,19338,,
14413,1980年度,21-382,岐阜県,輪之内町,8111,,
14414,1980年度,21-383,岐阜県,安八町,13901,,
14415,1980年度,21-401,岐阜県,揖斐川町,31171,,
14416,1980年度,21-403,岐阜県,大野町,19127,,
14417,1980年度,21-404,岐阜県,池田町,20672,,
14418,1980年度,21-421,岐阜県,北方町,13165,,
14419,1980年度,21-501,岐阜県,坂祝町,6366,,
14420,1980年度,21-502,岐阜県,富加町,5635,,
14421,1980年度,21-503,岐阜県,川辺町,10255,,
14422,1980年度,21-504,岐阜県,七宗町,6435,,
14423,1980年度,21-505,岐阜県,八百津町,15451,,
14424,1980年度,21-506,岐阜県,白川町,12922,,
14425,1980年度,21-507,岐阜県,東白川村,3578,,
14426,1980年度,21-521,岐阜県,御嵩町,16794,,
14427,1980年度,21-604,岐阜県,白川村,2132,,
14428,1980年度,22-100,静岡県,静岡市,727260,,
14432,1980年度,22-130,静岡県,浜松市,698982,,
14440,1980年度,22-203,静岡県,沼津市,208708,,
14441,1980年度,22-205,静岡県,熱海市,50082,,
14442,1980年度,22-206,静岡県,三島市,94612,,
14443,1980年度,22-207,静岡県,富士宮市,118214,,
14444,1980年度,22-208,静岡県,伊東市,69638,,
14445,1980年度,22-209,静岡県,島田市,100519,,
14446,1980年度,22-210,静岡県,富士市,222488,,
14447,1980年度,22-211,静岡県,磐田市,140751,,
14448,1980年度,22-212,静岡県,焼津市,124071,,
14449,1980年度,22-213,静岡県,掛川市,94398,,
14450,1980年度,22-214,静岡県,藤枝市,114822,,
14451,1980年度,22-215,静岡県,御殿場市,69261,,
14452,1980年度,22-216,静岡県,袋井市,57924,,
14453,1980年度,22-219,静岡県,下田市,31007,,
14454,1980年度,22-220,静岡県,裾野市,41025,,
14455,1980年度,22-221,静岡県,湖西市,54252,,
14456,1980年度,22-222,静岡県,伊豆市,39915,,
14457,1980年度,22-223,静岡県,御前崎市,30774,,
14458,1980年度,22-224,静岡県,菊川市,38081,,
14459,1980年度,22-225,静岡県,伊豆の国市,44046,,
14460,1980年度,22-226,静岡県,牧之原市,48835,,
14461,1980年度,22-301,静岡県,東伊豆町,17030,,
14462,1980年度,22-302,静岡県,河津町,9509,,
14463,1980年度,22-304,静岡県,南伊豆町,11722,,
14464,1980年度,22-305,静岡県,松崎町,10013,,
14465,1980年度,22-306,静岡県,西伊豆町,14376,,
14466,1980年度,22-325,静岡県,函南町,28749,,
14467,1980年度,22-341,静岡県,清水町,26408,,
14468,1980年度,22-342,静岡県,長泉町,31423,,
14469,1980年度,22-344,静岡県,小山町,23212,,
14470,1980年度,22-424,静岡県,吉田町,21474,,
14471,1980年度,22-429,静岡県,川根本町,12776,,
14472,1980年度,22-461,静岡県,森町,20447,,
14473,1980年度,23-100,愛知県,名古屋市,2087902,,
14490,1980年度,23-201,愛知県,豊橋市,304273,,
14491,1980年度,23-202,愛知県,岡崎市,271243,,
14492,1980年度,23-203,愛知県,一宮市,335465,,
14493,1980年度,23-204,愛知県,瀬戸市,120774,,
14494,1980年度,23-205,愛知県,半田市,89328,,
14495,1980年度,23-206,愛知県,春日井市,244119,,
14496,1980年度,23-207,愛知県,豊川市,157084,,
14497,1980年度,23-208,愛知県,津島市,59049,,
14498,1980年度,23-209,愛知県,碧南市,62021,,
14499,1980年度,23-210,愛知県,刈谷市,105643,,
14500,1980年度,23-211,愛知県,豊田市,315871,,
14501,1980年度,23-212,愛知県,安城市,123843,,
14502,1980年度,23-213,愛知県,西尾市,146010,,
14503,1980年度,23-214,愛知県,蒲郡市,85294,,
14504,1980年度,23-215,愛知県,犬山市,64614,,
14505,1980年度,23-216,愛知県,常滑市,54345,,
14506,1980年度,23-217,愛知県,江南市,92141,,
14507,1980年度,23-219,愛知県,小牧市,103233,,
14508,1980年度,23-220,愛知県,稲沢市,126023,,
14509,1980年度,23-221,愛知県,新城市,54239,,
14510,1980年度,23-222,愛知県,東海市,96048,,
14511,1980年度,23-223,愛知県,大府市,62277,,
14512,1980年度,23-224,愛知県,知多市,64831,,
14513,1980年度,23-225,愛知県,知立市,49432,,
14514,1980年度,23-226,愛知県,尾張旭市,53151,,
14515,1980年度,23-227,愛知県,高浜市,31548,,
14516,1980年度,23-228,愛知県,岩倉市,42800,,
14517,1980年度,23-229,愛知県,豊明市,54667,,
14518,1980年度,23-230,愛知県,日進市,41024,,
14519,1980年度,23-231,愛知県,田原市,60581,,
14520,1980年度,23-232,愛知県,愛西市,61337,,
14521,1980年度,23-233,愛知県,清須市,61138,,
14522,1980年度,23-234,愛知県,北名古屋市,69078,,
14523,1980年度,23-235,愛知県,弥富市,36457,,
14524,1980年度,23-236,愛知県,みよし市,28552,,
14525,1980年度,23-237,愛知県,あま市,70190,,
14526,1980年度,23-238,愛知県,長久手市,18610,,
14527,1980年度,23-302,愛知県,東郷町,22125,,
14528,1980年度,23-342,愛知県,豊山町,13693,,
14529,1980年度,23-361,愛知県,大口町,16195,,
14530,1980年度,23-362,愛知県,扶桑町,27254,,
14531,1980年度,23-424,愛知県,大治町,19939,,
14532,1980年度,23-425,愛知県,蟹江町,30966,,
14533,1980年度,23-427,愛知県,飛島村,4709,,
14534,1980年度,23-441,愛知県,阿久比町,20880,,
14535,1980年度,23-442,愛知県,東浦町,36035,,
14536,1980年度,23-445,愛知県,南知多町,27017,,
14537,1980年度,23-446,愛知県,美浜町,20820,,
14538,1980年度,23-447,愛知県,武豊町,33924,,
14539,1980年度,23-501,愛知県,幸田町,26163,,
14540,1980年度,23-561,愛知県,設楽町,9321,,
14541,1980年度,23-562,愛知県,東栄町,6236,,
14542,1980年度,23-563,愛知県,豊根村,2126,,
14543,1980年度,24-201,三重県,津市,265443,,
14544,1980年度,24-202,三重県,四日市市,266756,,
14545,1980年度,24-203,三重県,伊勢市,137296,,
14546,1980年度,24-204,三重県,松阪市,153185,,
14547,1980年度,24-205,三重県,桑名市,110310,,
14548,1980年度,24-207,三重県,鈴鹿市,156250,,
14549,1980年度,24-208,三重県,名張市,44488,,
14550,1980年度,24-209,三重県,尾鷲市,31348,,
14551,1980年度,24-210,三重県,亀山市,40578,,
14552,1980年度,24-211,三重県,鳥羽市,28812,,
14553,1980年度,24-212,三重県,熊野市,28720,,
14554,1980年度,24-214,三重県,いなべ市,41591,,
14555,1980年度,24-215,三重県,志摩市,63065,,
14556,1980年度,24-216,三重県,伊賀市,95582,,
14557,1980年度,24-303,三重県,木曽岬町,4986,,
14558,1980年度,24-324,三重県,東員町,15538,,
14559,1980年度,24-341,三重県,菰野町,29373,,
14560,1980年度,24-343,三重県,朝日町,6851,,
14561,1980年度,24-344,三重県,川越町,10645,,
14562,1980年度,24-441,三重県,多気町,16054,,
14563,1980年度,24-442,三重県,明和町,19504,,
14564,1980年度,24-443,三重県,大台町,13172,,
14565,1980年度,24-461,三重県,玉城町,11643,,
14566,1980年度,24-470,三重県,度会町,8730,,
14567,1980年度,24-471,三重県,大紀町,14144,,
14568,1980年度,24-472,三重県,南伊勢町,23883,,
14569,1980年度,24-543,三重県,紀北町,26268,,
14570,1980年度,24-561,三重県,御浜町,10544,,
14571,1980年度,24-562,三重県,紀宝町,12177,,
14572,1980年度,25-201,滋賀県,大津市,228982,,
14573,1980年度,25-202,滋賀県,彦根市,89701,,
14574,1980年度,25-203,滋賀県,長浜市,119988,,
14575,1980年度,25-204,滋賀県,近江八幡市,70772,,
14576,1980年度,25-206,滋賀県,草津市,77012,,
14577,1980年度,25-207,滋賀県,守山市,46763,,
14578,1980年度,25-208,滋賀県,栗東市,37033,,
14579,1980年度,25-209,滋賀県,甲賀市,75203,,
